,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
129,120,staryu,Water,,340,30,45,55,70,55,85,1,False
130,121,starmie,Water,Psychic,520,60,75,85,100,85,115,1,False
131,122,mr-mime,Psychic,Fairy,460,40,45,65,100,120,90,1,False
132,123,scyther,Bug,Flying,500,70,110,80,55,80,105,1,False
133,124,jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False
134,125,electabuzz,Electric,,490,65,83,57,95,85,105,1,False
135,126,magmar,Fire,,495,65,95,57,100,85,93,1,False
136,127,pinsir,Bug,,500,65,125,100,55,70,85,1,False
137,127,pinsirmega pinsir,Bug,Flying,600,65,155,120,65,90,105,1,False
138,128,tauros,Normal,,490,75,100,95,40,70,110,1,False
139,129,magikarp,Water,,200,20,10,55,15,20,80,1,False
140,130,gyarados,Water,Flying,540,95,125,79,60,100,81,1,False
141,130,gyaradosmega gyarados,Water,Dark,640,95,155,109,70,130,81,1,False
142,131,lapras,Water,Ice,535,130,85,80,85,95,60,1,False
143,132,ditto,Normal,,288,48,48,48,48,48,48,1,False
144,133,eevee,Normal,,325,55,55,50,45,65,55,1,False
145,134,vaporeon,Water,,525,130,65,60,110,95,65,1,False
146,135,jolteon,Electric,,525,65,65,60,110,95,130,1,False
147,136,flareon,Fire,,525,65,130,60,95,110,65,1,False
148,137,porygon,Normal,,395,65,60,70,85,75,40,1,False
149,138,omanyte,Rock,Water,355,35,40,100,90,55,35,1,False
150,139,omastar,Rock,Water,495,70,60,125,115,70,55,1,False
151,140,kabuto,Rock,Water,355,30,80,90,55,45,55,1,False
152,141,kabutops,Rock,Water,495,60,115,105,65,70,80,1,False
153,142,aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False
154,142,aerodactylmega aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,False
155,143,snorlax,Normal,,540,160,110,65,65,110,30,1,False
156,144,articuno,Ice,Flying,580,90,85,100,95,125,85,1,True
157,145,zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True
158,146,moltres,Fire,Flying,580,90,100,90,125,85,90,1,True
159,147,dratini,Dragon,,300,41,64,45,50,50,50,1,False
160,148,dragonair,Dragon,,420,61,84,65,70,70,70,1,False
161,149,dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False
162,150,mewtwo,Psychic,,680,106,110,90,154,90,130,1,True
163,150,mewtwomega mewtwo x,Psychic,Fighting,780,106,190,100,154,100,130,1,True
164,150,mewtwomega mewtwo y,Psychic,,780,106,150,70,194,120,140,1,True
165,151,mew,Psychic,,600,100,100,100,100,100,100,1,False
166,152,chikorita,Grass,,318,45,49,65,49,65,45,2,False
167,153,bayleef,Grass,,405,60,62,80,63,80,60,2,False
168,154,meganium,Grass,,525,80,82,100,83,100,80,2,False
169,155,cyndaquil,Fire,,309,39,52,43,60,50,65,2,False
170,156,quilava,Fire,,405,58,64,58,80,65,80,2,False
171,157,typhlosion,Fire,,534,78,84,78,109,85,100,2,False
172,158,totodile,Water,,314,50,65,64,44,48,43,2,False
173,159,croconaw,Water,,405,65,80,80,59,63,58,2,False
174,160,feraligatr,Water,,530,85,105,100,79,83,78,2,False
175,161,sentret,Normal,,215,35,46,34,35,45,20,2,False
176,162,furret,Normal,,415,85,76,64,45,55,90,2,False
177,163,hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,False
178,164,noctowl,Normal,Flying,442,100,50,50,76,96,70,2,False
179,165,ledyba,Bug,Flying,265,40,20,30,40,80,55,2,False
180,166,ledian,Bug,Flying,390,55,35,50,55,110,85,2,False
181,167,spinarak,Bug,Poison,250,40,60,40,40,40,30,2,False
182,168,ariados,Bug,Poison,390,70,90,70,60,60,40,2,False
183,169,crobat,Poison,Flying,535,85,90,80,70,80,130,2,False
184,170,chinchou,Water,Electric,330,75,38,38,56,56,67,2,False
185,171,lanturn,Water,Electric,460,125,58,58,76,76,67,2,False
186,172,pichu,Electric,,205,20,40,15,35,35,60,2,False
187,173,cleffa,Fairy,,218,50,25,28,45,55,15,2,False
188,174,igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,False
189,175,togepi,Fairy,,245,35,20,65,40,65,20,2,False
190,176,togetic,Fairy,Flying,405,55,40,85,80,105,40,2,False
191,177,natu,Psychic,Flying,320,40,50,45,70,45,70,2,False
192,178,xatu,Psychic,Flying,470,65,75,70,95,70,95,2,False
193,179,mareep,Electric,,280,55,40,40,65,45,35,2,False
194,180,flaaffy,Electric,,365,70,55,55,80,60,45,2,False
195,181,ampharos,Electric,,510,90,75,85,115,90,55,2,False
196,181,ampharosmega ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,False
197,182,bellossom,Grass,,490,75,80,95,90,100,50,2,False
198,183,marill,Water,Fairy,250,70,20,50,20,50,40,2,False
199,184,azumarill,Water,Fairy,420,100,50,80,60,80,50,2,False
200,185,sudowoodo,Rock,,410,70,100,115,30,65,30,2,False
201,186,politoed,Water,,500,90,75,75,90,100,70,2,False
202,187,hoppip,Grass,Flying,250,35,35,40,35,55,50,2,False
203,188,skiploom,Grass,Flying,340,55,45,50,45,65,80,2,False
204,189,jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,False
205,190,aipom,Normal,,360,55,70,55,40,55,85,2,False
206,191,sunkern,Grass,,180,30,30,30,30,30,30,2,False
207,192,sunflora,Grass,,425,75,75,55,105,85,30,2,False
208,193,yanma,Bug,Flying,390,65,65,45,75,45,95,2,False
209,194,wooper,Water,Ground,210,55,45,45,25,25,15,2,False
210,195,quagsire,Water,Ground,430,95,85,85,65,65,35,2,False
211,196,espeon,Psychic,,525,65,65,60,130,95,110,2,False
212,197,umbreon,Dark,,525,95,65,110,60,130,65,2,False
213,198,murkrow,Dark,Flying,405,60,85,42,85,42,91,2,False
214,199,slowking,Water,Psychic,490,95,75,80,100,110,30,2,False
215,200,misdreavus,Ghost,,435,60,60,60,85,85,85,2,False
216,201,unown,Psychic,,336,48,72,48,72,48,48,2,False
217,202,wobbuffet,Psychic,,405,190,33,58,33,58,33,2,False
218,203,girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,False
219,204,pineco,Bug,,290,50,65,90,35,35,15,2,False
220,205,forretress,Bug,Steel,465,75,90,140,60,60,40,2,False
221,206,dunsparce,Normal,,415,100,70,70,65,65,45,2,False
222,207,gligar,Ground,Flying,430,65,75,105,35,65,85,2,False
223,208,steelix,Steel,Ground,510,75,85,200,55,65,30,2,False
224,208,steelixmega steelix,Steel,Ground,610,75,125,230,55,95,30,2,False
225,209,snubbull,Fairy,,300,60,80,50,40,40,30,2,False
226,210,granbull,Fairy,,450,90,120,75,60,60,45,2,False
227,211,qwilfish,Water,Poison,430,65,95,75,55,55,85,2,False
228,212,scizor,Bug,Steel,500,70,130,100,55,80,65,2,False
229,212,scizormega scizor,Bug,Steel,600,70,150,140,65,100,75,2,False
230,213,shuckle,Bug,Rock,505,20,10,230,10,230,5,2,False
231,214,heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False
232,214,heracrossmega heracross,Bug,Fighting,600,80,185,115,40,105,75,2,False
233,215,sneasel,Dark,Ice,430,55,95,55,35,75,115,2,False
234,216,teddiursa,Normal,,330,60,80,50,50,50,40,2,False
235,217,ursaring,Normal,,500,90,130,75,75,75,55,2,False
236,218,slugma,Fire,,250,40,40,40,70,40,20,2,False
237,219,magcargo,Fire,Rock,410,50,50,120,80,80,30,2,False
238,220,swinub,Ice,Ground,250,50,50,40,30,30,50,2,False
239,221,piloswine,Ice,Ground,450,100,100,80,60,60,50,2,False
240,222,corsola,Water,Rock,380,55,55,85,65,85,35,2,False
241,223,remoraid,Water,,300,35,65,35,65,35,65,2,False
242,224,octillery,Water,,480,75,105,75,105,75,45,2,False
243,225,delibird,Ice,Flying,330,45,55,45,65,45,75,2,False
244,226,mantine,Water,Flying,465,65,40,70,80,140,70,2,False
245,227,skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False
246,228,houndour,Dark,Fire,330,45,60,30,80,50,65,2,False
247,229,houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False
248,229,houndoommega houndoom,Dark,Fire,600,75,90,90,140,90,115,2,False
249,230,kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False
250,231,phanpy,Ground,,330,90,60,60,40,40,40,2,False
251,232,donphan,Ground,,500,90,120,120,60,60,50,2,False
252,233,porygon2,Normal,,515,85,80,90,105,95,60,2,False
253,234,stantler,Normal,,465,73,95,62,85,65,85,2,False
254,235,smeargle,Normal,,250,55,20,35,20,45,75,2,False
255,236,tyrogue,Fighting,,210,35,35,35,35,35,35,2,False
256,237,hitmontop,Fighting,,455,50,95,95,35,110,70,2,False
257,238,smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,False
258,239,elekid,Electric,,360,45,63,37,65,55,95,2,False
259,240,magby,Fire,,365,45,75,37,70,55,83,2,False
260,241,miltank,Normal,,490,95,80,105,40,70,100,2,False
261,242,blissey,Normal,,540,255,10,10,75,135,55,2,False
262,243,raikou,Electric,,580,90,85,75,115,100,115,2,True
263,244,entei,Fire,,580,115,115,85,90,75,100,2,True
264,245,suicune,Water,,580,100,75,115,90,115,85,2,True
265,246,larvitar,Rock,Ground,300,50,64,50,45,50,41,2,False
266,247,pupitar,Rock,Ground,410,70,84,70,65,70,51,2,False
267,248,tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False
268,248,tyranitarmega tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,False
269,249,lugia,Psychic,Flying,680,106,90,130,90,154,110,2,True
270,250,ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,True
271,251,celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False
272,252,treecko,Grass,,310,40,45,35,65,55,70,3,False
273,253,grovyle,Grass,,405,50,65,45,85,65,95,3,False
274,254,sceptile,Grass,,530,70,85,65,105,85,120,3,False
275,254,sceptilemega sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,False
276,255,torchic,Fire,,310,45,60,40,70,50,45,3,False
277,256,combusken,Fire,Fighting,405,60,85,60,85,60,55,3,False
278,257,blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False
279,257,blazikenmega blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,False
280,258,mudkip,Water,,310,50,70,50,50,50,40,3,False
281,259,marshtomp,Water,Ground,405,70,85,70,60,70,50,3,False
282,260,swampert,Water,Ground,535,100,110,90,85,90,60,3,False
283,260,swampertmega swampert,Water,Ground,635,100,150,110,95,110,70,3,False
284,261,poochyena,Dark,,220,35,55,35,30,30,35,3,False
285,262,mightyena,Dark,,420,70,90,70,60,60,70,3,False
286,263,zigzagoon,Normal,,240,38,30,41,30,41,60,3,False
287,264,linoone,Normal,,420,78,70,61,50,61,100,3,False
288,265,wurmple,Bug,,195,45,45,35,20,30,20,3,False
289,266,silcoon,Bug,,205,50,35,55,25,25,15,3,False
290,267,beautifly,Bug,Flying,395,60,70,50,100,50,65,3,False
291,268,cascoon,Bug,,205,50,35,55,25,25,15,3,False
292,269,dustox,Bug,Poison,385,60,50,70,50,90,65,3,False
293,270,lotad,Water,Grass,220,40,30,30,40,50,30,3,False
294,271,lombre,Water,Grass,340,60,50,50,60,70,50,3,False
295,272,ludicolo,Water,Grass,480,80,70,70,90,100,70,3,False
296,273,seedot,Grass,,220,40,40,50,30,30,30,3,False
297,274,nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,False
298,275,shiftry,Grass,Dark,480,90,100,60,90,60,80,3,False
299,276,taillow,Normal,Flying,270,40,55,30,30,30,85,3,False
300,277,swellow,Normal,Flying,430,60,85,60,50,50,125,3,False
301,278,wingull,Water,Flying,270,40,30,30,55,30,85,3,False
302,279,pelipper,Water,Flying,430,60,50,100,85,70,65,3,False
303,280,ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,False
304,281,kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,False
305,282,gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,False
306,282,gardevoirmega gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3,False
307,283,surskit,Bug,Water,269,40,30,32,50,52,65,3,False
308,284,masquerain,Bug,Flying,414,70,60,62,80,82,60,3,False
309,285,shroomish,Grass,,295,60,40,60,40,60,35,3,False
310,286,breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False
311,287,slakoth,Normal,,280,60,60,60,35,35,30,3,False
312,288,vigoroth,Normal,,440,80,80,80,55,55,90,3,False
313,289,slaking,Normal,,670,150,160,100,95,65,100,3,False
314,290,nincada,Bug,Ground,266,31,45,90,30,30,40,3,False
315,291,ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False
316,292,shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,False
317,293,whismur,Normal,,240,64,51,23,51,23,28,3,False
318,294,loudred,Normal,,360,84,71,43,71,43,48,3,False
319,295,exploud,Normal,,490,104,91,63,91,73,68,3,False
320,296,makuhita,Fighting,,237,72,60,30,20,30,25,3,False
321,297,hariyama,Fighting,,474,144,120,60,40,60,50,3,False
322,298,azurill,Normal,Fairy,190,50,20,40,20,40,20,3,False
323,299,nosepass,Rock,,375,30,45,135,45,90,30,3,False
324,300,skitty,Normal,,260,50,45,45,35,35,50,3,False
325,301,delcatty,Normal,,380,70,65,65,55,55,70,3,False
326,302,sableye,Dark,Ghost,380,50,75,75,65,65,50,3,False
327,302,sableyemega sableye,Dark,Ghost,480,50,85,125,85,115,20,3,False
328,303,mawile,Steel,Fairy,380,50,85,85,55,55,50,3,False
329,303,mawilemega mawile,Steel,Fairy,480,50,105,125,55,95,50,3,False
330,304,aron,Steel,Rock,330,50,70,100,40,40,30,3,False
331,305,lairon,Steel,Rock,430,60,90,140,50,50,40,3,False
332,306,aggron,Steel,Rock,530,70,110,180,60,60,50,3,False
333,306,aggronmega aggron,Steel,,630,70,140,230,60,80,50,3,False
334,307,meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,False
335,308,medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,False
336,308,medichammega medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,False
337,309,electrike,Electric,,295,40,45,40,65,40,65,3,False
338,310,manectric,Electric,,475,70,75,60,105,60,105,3,False
339,310,manectricmega manectric,Electric,,575,70,75,80,135,80,135,3,False
340,311,plusle,Electric,,405,60,50,40,85,75,95,3,False
341,312,minun,Electric,,405,60,40,50,75,85,95,3,False
342,313,volbeat,Bug,,400,65,73,55,47,75,85,3,False
343,314,illumise,Bug,,400,65,47,55,73,75,85,3,False
344,315,roselia,Grass,Poison,400,50,60,45,100,80,65,3,False
345,316,gulpin,Poison,,302,70,43,53,43,53,40,3,False
346,317,swalot,Poison,,467,100,73,83,73,83,55,3,False
347,318,carvanha,Water,Dark,305,45,90,20,65,20,65,3,False
348,319,sharpedo,Water,Dark,460,70,120,40,95,40,95,3,False
349,319,sharpedomega sharpedo,Water,Dark,560,70,140,70,110,65,105,3,False
350,320,wailmer,Water,,400,130,70,35,70,35,60,3,False
351,321,wailord,Water,,500,170,90,45,90,45,60,3,False
352,322,numel,Fire,Ground,305,60,60,40,65,45,35,3,False
353,323,camerupt,Fire,Ground,460,70,100,70,105,75,40,3,False
354,323,cameruptmega camerupt,Fire,Ground,560,70,120,100,145,105,20,3,False
355,324,torkoal,Fire,,470,70,85,140,85,70,20,3,False
356,325,spoink,Psychic,,330,60,25,35,70,80,60,3,False
357,326,grumpig,Psychic,,470,80,45,65,90,110,80,3,False
358,327,spinda,Normal,,360,60,60,60,60,60,60,3,False
359,328,trapinch,Ground,,290,45,100,45,45,45,10,3,False
360,329,vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,False
361,330,flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False
362,331,cacnea,Grass,,335,50,85,40,85,40,35,3,False
363,332,cacturne,Grass,Dark,475,70,115,60,115,60,55,3,False
364,333,swablu,Normal,Flying,310,45,40,60,40,75,50,3,False
365,334,altaria,Dragon,Flying,490,75,70,90,70,105,80,3,False
366,334,altariamega altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,False
367,335,zangoose,Normal,,458,73,115,60,60,60,90,3,False
368,336,seviper,Poison,,458,73,100,60,100,60,65,3,False
369,337,lunatone,Rock,Psychic,440,70,55,65,95,85,70,3,False
370,338,solrock,Rock,Psychic,440,70,95,85,55,65,70,3,False
371,339,barboach,Water,Ground,288,50,48,43,46,41,60,3,False
372,340,whiscash,Water,Ground,468,110,78,73,76,71,60,3,False
373,341,corphish,Water,,308,43,80,65,50,35,35,3,False
374,342,crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,False
375,343,baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,False
376,344,claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False
377,345,lileep,Rock,Grass,355,66,41,77,61,87,23,3,False
378,346,cradily,Rock,Grass,495,86,81,97,81,107,43,3,False
379,347,anorith,Rock,Bug,355,45,95,50,40,50,75,3,False
380,348,armaldo,Rock,Bug,495,75,125,100,70,80,45,3,False
381,349,feebas,Water,,200,20,15,20,10,55,80,3,False
382,350,milotic,Water,,540,95,60,79,100,125,81,3,False
383,351,castform,Normal,,420,70,70,70,70,70,70,3,False
384,352,kecleon,Normal,,440,60,90,70,60,120,40,3,False
385,353,shuppet,Ghost,,295,44,75,35,63,33,45,3,False
386,354,banette,Ghost,,455,64,115,65,83,63,65,3,False
387,354,banettemega banette,Ghost,,555,64,165,75,93,83,75,3,False
388,355,duskull,Ghost,,295,20,40,90,30,90,25,3,False
389,356,dusclops,Ghost,,455,40,70,130,60,130,25,3,False
390,357,tropius,Grass,Flying,460,99,68,83,72,87,51,3,False
391,358,chimecho,Psychic,,425,65,50,70,95,80,65,3,False
392,359,absol,Dark,,465,65,130,60,75,60,75,3,False
393,359,absolmega absol,Dark,,565,65,150,60,115,60,115,3,False
394,360,wynaut,Psychic,,260,95,23,48,23,48,23,3,False
395,361,snorunt,Ice,,300,50,50,50,50,50,50,3,False
396,362,glalie,Ice,,480,80,80,80,80,80,80,3,False
397,362,glaliemega glalie,Ice,,580,80,120,80,120,80,100,3,False
398,363,spheal,Ice,Water,290,70,40,50,55,50,25,3,False
399,364,sealeo,Ice,Water,410,90,60,70,75,70,45,3,False
400,365,walrein,Ice,Water,530,110,80,90,95,90,65,3,False
401,366,clamperl,Water,,345,35,64,85,74,55,32,3,False
402,367,huntail,Water,,485,55,104,105,94,75,52,3,False
403,368,gorebyss,Water,,485,55,84,105,114,75,52,3,False
404,369,relicanth,Water,Rock,485,100,90,130,45,65,55,3,False
405,370,luvdisc,Water,,330,43,30,55,40,65,97,3,False
406,371,bagon,Dragon,,300,45,75,60,40,30,50,3,False
407,372,shelgon,Dragon,,420,65,95,100,60,50,50,3,False
408,373,salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False
409,373,salamencemega salamence,Dragon,Flying,700,95,145,130,120,90,120,3,False
410,374,beldum,Steel,Psychic,300,40,55,80,35,60,30,3,False
