,name,moves,encounterOrEvolutionTrigger,OriginIfEvolution
10,poliwag,"[{'name': 'bubble', 'levelLearnedAt': 1}, {'name': 'hypnosis', 'levelLearnedAt': 16}, {'name': 'water-gun', 'levelLearnedAt': 19}, {'name': 'double-slap', 'levelLearnedAt': 25}, {'name': 'body-slam', 'levelLearnedAt': 31}, {'name': 'amnesia', 'levelLearnedAt': 38}, {'name': 'hydro-pump', 'levelLearnedAt': 45}]",fishing,
11,goldeen,"[{'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'peck', 'levelLearnedAt': 1}, {'name': 'supersonic', 'levelLearnedAt': 19}, {'name': 'horn-attack', 'levelLearnedAt': 24}, {'name': 'fury-attack', 'levelLearnedAt': 30}, {'name': 'waterfall', 'levelLearnedAt': 37}, {'name': 'horn-drill', 'levelLearnedAt': 45}, {'name': 'agility', 'levelLearnedAt': 54}]",fishing,
12,magikarp,"[{'name': 'splash', 'levelLearnedAt': 1}, {'name': 'tackle', 'levelLearnedAt': 15}]",fishing,
13,jigglypuff,"[{'name': 'sing', 'levelLearnedAt': 1}, {'name': 'pound', 'levelLearnedAt': 9}, {'name': 'disable', 'levelLearnedAt': 14}, {'name': 'defense-curl', 'levelLearnedAt': 19}, {'name': 'double-slap', 'levelLearnedAt': 24}, {'name': 'rest', 'levelLearnedAt': 29}, {'name': 'body-slam', 'levelLearnedAt': 34}, {'name': 'double-edge', 'levelLearnedAt': 39}]",walk,
14,sandshrew,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'sand-attack', 'levelLearnedAt': 10}, {'name': 'slash', 'levelLearnedAt': 17}, {'name': 'poison-sting', 'levelLearnedAt': 24}, {'name': 'swift', 'levelLearnedAt': 31}, {'name': 'fury-swipes', 'levelLearnedAt': 38}]",walk,
15,psyduck,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'tail-whip', 'levelLearnedAt': 28}, {'name': 'disable', 'levelLearnedAt': 31}, {'name': 'confusion', 'levelLearnedAt': 36}, {'name': 'fury-swipes', 'levelLearnedAt': 43}, {'name': 'hydro-pump', 'levelLearnedAt': 52}]",walk,
16,abra,"[{'name': 'teleport', 'levelLearnedAt': 1}]",walk,
17,bellsprout,"[{'name': 'vine-whip', 'levelLearnedAt': 1}, {'name': 'growth', 'levelLearnedAt': 1}, {'name': 'wrap', 'levelLearnedAt': 13}, {'name': 'poison-powder', 'levelLearnedAt': 15}, {'name': 'sleep-powder', 'levelLearnedAt': 18}, {'name': 'stun-spore', 'levelLearnedAt': 21}, {'name': 'acid', 'levelLearnedAt': 26}, {'name': 'razor-leaf', 'levelLearnedAt': 33}, {'name': 'slam', 'levelLearnedAt': 42}]",walk,
18,krabby,"[{'name': 'leer', 'levelLearnedAt': 1}, {'name': 'bubble', 'levelLearnedAt': 1}, {'name': 'vise-grip', 'levelLearnedAt': 20}, {'name': 'guillotine', 'levelLearnedAt': 25}, {'name': 'stomp', 'levelLearnedAt': 30}, {'name': 'crabhammer', 'levelLearnedAt': 35}, {'name': 'harden', 'levelLearnedAt': 40}]",fishing,
19,shellder,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'withdraw', 'levelLearnedAt': 1}, {'name': 'supersonic', 'levelLearnedAt': 18}, {'name': 'clamp', 'levelLearnedAt': 23}, {'name': 'aurora-beam', 'levelLearnedAt': 30}, {'name': 'leer', 'levelLearnedAt': 39}, {'name': 'ice-beam', 'levelLearnedAt': 50}]",walk,
20,drowzee,"[{'name': 'pound', 'levelLearnedAt': 1}, {'name': 'hypnosis', 'levelLearnedAt': 1}, {'name': 'disable', 'levelLearnedAt': 12}, {'name': 'confusion', 'levelLearnedAt': 17}, {'name': 'headbutt', 'levelLearnedAt': 24}, {'name': 'poison-gas', 'levelLearnedAt': 29}, {'name': 'psychic', 'levelLearnedAt': 32}, {'name': 'meditate', 'levelLearnedAt': 37}]",walk,
21,diglett,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 15}, {'name': 'dig', 'levelLearnedAt': 19}, {'name': 'sand-attack', 'levelLearnedAt': 24}, {'name': 'slash', 'levelLearnedAt': 31}, {'name': 'earthquake', 'levelLearnedAt': 40}]",walk,
22,dugtrio,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 15}, {'name': 'dig', 'levelLearnedAt': 19}, {'name': 'sand-attack', 'levelLearnedAt': 24}, {'name': 'slash', 'levelLearnedAt': 35}, {'name': 'earthquake', 'levelLearnedAt': 47}]",walk,
23,meowth,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'bite', 'levelLearnedAt': 12}, {'name': 'pay-day', 'levelLearnedAt': 17}, {'name': 'screech', 'levelLearnedAt': 24}, {'name': 'fury-swipes', 'levelLearnedAt': 33}, {'name': 'slash', 'levelLearnedAt': 44}]",walk,
24,bulbasaur,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'leech-seed', 'levelLearnedAt': 7}, {'name': 'vine-whip', 'levelLearnedAt': 13}, {'name': 'poison-powder', 'levelLearnedAt': 20}, {'name': 'razor-leaf', 'levelLearnedAt': 27}, {'name': 'growth', 'levelLearnedAt': 34}, {'name': 'sleep-powder', 'levelLearnedAt': 41}, {'name': 'solar-beam', 'levelLearnedAt': 48}]",starter,
25,charmander,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'ember', 'levelLearnedAt': 9}, {'name': 'leer', 'levelLearnedAt': 15}, {'name': 'rage', 'levelLearnedAt': 22}, {'name': 'slash', 'levelLearnedAt': 30}, {'name': 'flamethrower', 'levelLearnedAt': 38}, {'name': 'fire-spin', 'levelLearnedAt': 46}]",starter,
26,squirtle,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'bubble', 'levelLearnedAt': 8}, {'name': 'water-gun', 'levelLearnedAt': 15}, {'name': 'bite', 'levelLearnedAt': 22}, {'name': 'withdraw', 'levelLearnedAt': 28}, {'name': 'skull-bash', 'levelLearnedAt': 35}, {'name': 'hydro-pump', 'levelLearnedAt': 42}]",starter,
27,kabuto,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'harden', 'levelLearnedAt': 1}, {'name': 'absorb', 'levelLearnedAt': 34}, {'name': 'slash', 'levelLearnedAt': 39}, {'name': 'leer', 'levelLearnedAt': 44}, {'name': 'hydro-pump', 'levelLearnedAt': 49}]",special,
28,omanyte,"[{'name': 'water-gun', 'levelLearnedAt': 1}, {'name': 'withdraw', 'levelLearnedAt': 1}, {'name': 'horn-attack', 'levelLearnedAt': 34}, {'name': 'leer', 'levelLearnedAt': 39}, {'name': 'spike-cannon', 'levelLearnedAt': 46}, {'name': 'hydro-pump', 'levelLearnedAt': 53}]",special,
29,jynx,"[{'name': 'pound', 'levelLearnedAt': 1}, {'name': 'lovely-kiss', 'levelLearnedAt': 1}, {'name': 'lick', 'levelLearnedAt': 18}, {'name': 'double-slap', 'levelLearnedAt': 23}, {'name': 'ice-punch', 'levelLearnedAt': 31}, {'name': 'body-slam', 'levelLearnedAt': 39}, {'name': 'thrash', 'levelLearnedAt': 47}, {'name': 'blizzard', 'levelLearnedAt': 58}]",special,
30,farfetchd,"[{'name': 'sand-attack', 'levelLearnedAt': 1}, {'name': 'peck', 'levelLearnedAt': 1}, {'name': 'leer', 'levelLearnedAt': 7}, {'name': 'fury-attack', 'levelLearnedAt': 15}, {'name': 'swords-dance', 'levelLearnedAt': 23}, {'name': 'agility', 'levelLearnedAt': 31}, {'name': 'slash', 'levelLearnedAt': 39}]",special,
31,pidgeotto,"[{'name': 'gust', 'levelLearnedAt': 1}, {'name': 'sand-attack', 'levelLearnedAt': 5}, {'name': 'quick-attack', 'levelLearnedAt': 12}, {'name': 'whirlwind', 'levelLearnedAt': 21}, {'name': 'wing-attack', 'levelLearnedAt': 31}, {'name': 'agility', 'levelLearnedAt': 40}, {'name': 'mirror-move', 'levelLearnedAt': 49}]",18,walk
32,pidgeot,"[{'name': 'gust', 'levelLearnedAt': 1}, {'name': 'sand-attack', 'levelLearnedAt': 5}, {'name': 'quick-attack', 'levelLearnedAt': 12}, {'name': 'whirlwind', 'levelLearnedAt': 21}, {'name': 'wing-attack', 'levelLearnedAt': 31}, {'name': 'agility', 'levelLearnedAt': 44}, {'name': 'mirror-move', 'levelLearnedAt': 54}]",36,walk
33,raticate,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'quick-attack', 'levelLearnedAt': 7}, {'name': 'hyper-fang', 'levelLearnedAt': 14}, {'name': 'focus-energy', 'levelLearnedAt': 27}, {'name': 'super-fang', 'levelLearnedAt': 41}]",20,walk
34,butterfree,"[{'name': 'confusion', 'levelLearnedAt': 12}, {'name': 'poison-powder', 'levelLearnedAt': 15}, {'name': 'stun-spore', 'levelLearnedAt': 16}, {'name': 'sleep-powder', 'levelLearnedAt': 17}, {'name': 'supersonic', 'levelLearnedAt': 21}, {'name': 'whirlwind', 'levelLearnedAt': 26}, {'name': 'psybeam', 'levelLearnedAt': 32}]",10,walk
35,beedrill,"[{'name': 'fury-attack', 'levelLearnedAt': 12}, {'name': 'focus-energy', 'levelLearnedAt': 16}, {'name': 'twineedle', 'levelLearnedAt': 20}, {'name': 'rage', 'levelLearnedAt': 25}, {'name': 'pin-missile', 'levelLearnedAt': 30}, {'name': 'agility', 'levelLearnedAt': 35}]",10,walk
36,raichu,"[{'name': 'growl', 'levelLearnedAt': 1}, {'name': 'thunder-shock', 'levelLearnedAt': 1}, {'name': 'thunder-wave', 'levelLearnedAt': 1}]",thunder-stone,walk
37,fearow,"[{'name': 'growl', 'levelLearnedAt': 1}, {'name': 'peck', 'levelLearnedAt': 1}, {'name': 'leer', 'levelLearnedAt': 9}, {'name': 'fury-attack', 'levelLearnedAt': 15}, {'name': 'mirror-move', 'levelLearnedAt': 25}, {'name': 'drill-peck', 'levelLearnedAt': 34}, {'name': 'agility', 'levelLearnedAt': 43}]",20,walk
38,nidorina,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'scratch', 'levelLearnedAt': 8}, {'name': 'poison-sting', 'levelLearnedAt': 14}, {'name': 'tail-whip', 'levelLearnedAt': 23}, {'name': 'bite', 'levelLearnedAt': 32}, {'name': 'fury-swipes', 'levelLearnedAt': 41}, {'name': 'double-kick', 'levelLearnedAt': 50}]",16,walk
39,nidoqueen,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'scratch', 'levelLearnedAt': 8}, {'name': 'poison-sting', 'levelLearnedAt': 14}, {'name': 'body-slam', 'levelLearnedAt': 23}]",moon-stone,walk
40,nidorino,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'leer', 'levelLearnedAt': 1}, {'name': 'horn-attack', 'levelLearnedAt': 8}, {'name': 'poison-sting', 'levelLearnedAt': 14}, {'name': 'focus-energy', 'levelLearnedAt': 23}, {'name': 'fury-attack', 'levelLearnedAt': 32}, {'name': 'horn-drill', 'levelLearnedAt': 41}, {'name': 'double-kick', 'levelLearnedAt': 50}]",16,walk
41,nidoking,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'horn-attack', 'levelLearnedAt': 8}, {'name': 'poison-sting', 'levelLearnedAt': 14}, {'name': 'thrash', 'levelLearnedAt': 23}]",moon-stone,walk
42,poliwhirl,"[{'name': 'bubble', 'levelLearnedAt': 1}, {'name': 'hypnosis', 'levelLearnedAt': 16}, {'name': 'water-gun', 'levelLearnedAt': 19}, {'name': 'double-slap', 'levelLearnedAt': 26}, {'name': 'body-slam', 'levelLearnedAt': 33}, {'name': 'amnesia', 'levelLearnedAt': 41}, {'name': 'hydro-pump', 'levelLearnedAt': 49}]",25,fishing
43,poliwrath,"[{'name': 'double-slap', 'levelLearnedAt': 1}, {'name': 'body-slam', 'levelLearnedAt': 1}, {'name': 'hypnosis', 'levelLearnedAt': 16}, {'name': 'water-gun', 'levelLearnedAt': 19}]",water-stone,fishing
44,seaking,"[{'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'peck', 'levelLearnedAt': 1}, {'name': 'supersonic', 'levelLearnedAt': 19}, {'name': 'horn-attack', 'levelLearnedAt': 24}, {'name': 'fury-attack', 'levelLearnedAt': 30}, {'name': 'waterfall', 'levelLearnedAt': 39}, {'name': 'horn-drill', 'levelLearnedAt': 48}, {'name': 'agility', 'levelLearnedAt': 54}]",33,fishing
45,gyarados,"[{'name': 'bite', 'levelLearnedAt': 20}, {'name': 'dragon-rage', 'levelLearnedAt': 25}, {'name': 'leer', 'levelLearnedAt': 32}, {'name': 'hydro-pump', 'levelLearnedAt': 41}, {'name': 'hyper-beam', 'levelLearnedAt': 52}]",20,fishing
46,wigglytuff,"[{'name': 'double-slap', 'levelLearnedAt': 1}, {'name': 'sing', 'levelLearnedAt': 1}, {'name': 'disable', 'levelLearnedAt': 1}, {'name': 'defense-curl', 'levelLearnedAt': 1}]",moon-stone,walk
47,sandslash,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'sand-attack', 'levelLearnedAt': 10}, {'name': 'slash', 'levelLearnedAt': 17}, {'name': 'poison-sting', 'levelLearnedAt': 27}, {'name': 'swift', 'levelLearnedAt': 36}, {'name': 'fury-swipes', 'levelLearnedAt': 47}]",22,walk
48,golduck,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'tail-whip', 'levelLearnedAt': 28}, {'name': 'disable', 'levelLearnedAt': 31}, {'name': 'confusion', 'levelLearnedAt': 39}, {'name': 'fury-swipes', 'levelLearnedAt': 48}, {'name': 'hydro-pump', 'levelLearnedAt': 59}]",33,walk
49,kadabra,"[{'name': 'teleport', 'levelLearnedAt': 1}, {'name': 'confusion', 'levelLearnedAt': 16}, {'name': 'disable', 'levelLearnedAt': 20}, {'name': 'psybeam', 'levelLearnedAt': 27}, {'name': 'recover', 'levelLearnedAt': 31}, {'name': 'psychic', 'levelLearnedAt': 38}, {'name': 'reflect', 'levelLearnedAt': 42}]",16,walk
50,alakazam,"[{'name': 'teleport', 'levelLearnedAt': 1}, {'name': 'confusion', 'levelLearnedAt': 16}, {'name': 'disable', 'levelLearnedAt': 20}, {'name': 'psybeam', 'levelLearnedAt': 27}, {'name': 'recover', 'levelLearnedAt': 31}, {'name': 'psychic', 'levelLearnedAt': 38}, {'name': 'reflect', 'levelLearnedAt': 42}]",trade,walk
51,weepinbell,"[{'name': 'vine-whip', 'levelLearnedAt': 1}, {'name': 'growth', 'levelLearnedAt': 1}, {'name': 'wrap', 'levelLearnedAt': 13}, {'name': 'poison-powder', 'levelLearnedAt': 15}, {'name': 'sleep-powder', 'levelLearnedAt': 18}, {'name': 'stun-spore', 'levelLearnedAt': 23}, {'name': 'acid', 'levelLearnedAt': 29}, {'name': 'razor-leaf', 'levelLearnedAt': 38}, {'name': 'slam', 'levelLearnedAt': 49}]",21,walk
52,victreebel,"[{'name': 'acid', 'levelLearnedAt': 1}, {'name': 'razor-leaf', 'levelLearnedAt': 1}, {'name': 'stun-spore', 'levelLearnedAt': 1}, {'name': 'wrap', 'levelLearnedAt': 13}, {'name': 'poison-powder', 'levelLearnedAt': 15}, {'name': 'sleep-powder', 'levelLearnedAt': 18}]",leaf-stone,walk
53,kingler,"[{'name': 'leer', 'levelLearnedAt': 1}, {'name': 'bubble', 'levelLearnedAt': 1}, {'name': 'vise-grip', 'levelLearnedAt': 20}, {'name': 'guillotine', 'levelLearnedAt': 25}, {'name': 'stomp', 'levelLearnedAt': 34}, {'name': 'crabhammer', 'levelLearnedAt': 42}, {'name': 'harden', 'levelLearnedAt': 49}]",28,fishing
54,cloyster,"[{'name': 'supersonic', 'levelLearnedAt': 1}, {'name': 'aurora-beam', 'levelLearnedAt': 1}, {'name': 'withdraw', 'levelLearnedAt': 1}, {'name': 'clamp', 'levelLearnedAt': 1}, {'name': 'spike-cannon', 'levelLearnedAt': 50}]",water-stone,walk
55,hypno,"[{'name': 'pound', 'levelLearnedAt': 1}, {'name': 'hypnosis', 'levelLearnedAt': 1}, {'name': 'disable', 'levelLearnedAt': 12}, {'name': 'confusion', 'levelLearnedAt': 17}, {'name': 'headbutt', 'levelLearnedAt': 24}, {'name': 'poison-gas', 'levelLearnedAt': 33}, {'name': 'psychic', 'levelLearnedAt': 37}, {'name': 'meditate', 'levelLearnedAt': 43}]",26,walk
56,persian,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'bite', 'levelLearnedAt': 12}, {'name': 'pay-day', 'levelLearnedAt': 17}, {'name': 'screech', 'levelLearnedAt': 24}, {'name': 'fury-swipes', 'levelLearnedAt': 37}, {'name': 'slash', 'levelLearnedAt': 51}]",28,walk
57,ivysaur,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'leech-seed', 'levelLearnedAt': 7}, {'name': 'vine-whip', 'levelLearnedAt': 13}, {'name': 'poison-powder', 'levelLearnedAt': 22}, {'name': 'razor-leaf', 'levelLearnedAt': 30}, {'name': 'growth', 'levelLearnedAt': 38}, {'name': 'sleep-powder', 'levelLearnedAt': 46}, {'name': 'solar-beam', 'levelLearnedAt': 54}]",16,starter
58,venusaur,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'leech-seed', 'levelLearnedAt': 7}, {'name': 'vine-whip', 'levelLearnedAt': 13}, {'name': 'poison-powder', 'levelLearnedAt': 22}, {'name': 'razor-leaf', 'levelLearnedAt': 30}, {'name': 'growth', 'levelLearnedAt': 43}, {'name': 'sleep-powder', 'levelLearnedAt': 55}, {'name': 'solar-beam', 'levelLearnedAt': 65}]",32,starter
59,charmeleon,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'ember', 'levelLearnedAt': 9}, {'name': 'leer', 'levelLearnedAt': 15}, {'name': 'rage', 'levelLearnedAt': 24}, {'name': 'slash', 'levelLearnedAt': 33}, {'name': 'flamethrower', 'levelLearnedAt': 42}, {'name': 'fire-spin', 'levelLearnedAt': 56}]",16,starter
60,charizard,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'ember', 'levelLearnedAt': 9}, {'name': 'leer', 'levelLearnedAt': 15}, {'name': 'rage', 'levelLearnedAt': 24}, {'name': 'slash', 'levelLearnedAt': 36}, {'name': 'flamethrower', 'levelLearnedAt': 46}, {'name': 'fire-spin', 'levelLearnedAt': 55}]",36,starter
61,wartortle,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'bubble', 'levelLearnedAt': 8}, {'name': 'water-gun', 'levelLearnedAt': 15}, {'name': 'bite', 'levelLearnedAt': 24}, {'name': 'withdraw', 'levelLearnedAt': 31}, {'name': 'skull-bash', 'levelLearnedAt': 39}, {'name': 'hydro-pump', 'levelLearnedAt': 47}]",16,starter
62,blastoise,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'bubble', 'levelLearnedAt': 8}, {'name': 'water-gun', 'levelLearnedAt': 15}, {'name': 'bite', 'levelLearnedAt': 24}, {'name': 'withdraw', 'levelLearnedAt': 31}, {'name': 'skull-bash', 'levelLearnedAt': 42}, {'name': 'hydro-pump', 'levelLearnedAt': 52}]",36,starter
63,kabutops,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'harden', 'levelLearnedAt': 1}, {'name': 'absorb', 'levelLearnedAt': 34}, {'name': 'slash', 'levelLearnedAt': 39}, {'name': 'leer', 'levelLearnedAt': 46}, {'name': 'hydro-pump', 'levelLearnedAt': 53}]",40,special
64,omastar,"[{'name': 'water-gun', 'levelLearnedAt': 1}, {'name': 'withdraw', 'levelLearnedAt': 1}, {'name': 'horn-attack', 'levelLearnedAt': 34}, {'name': 'leer', 'levelLearnedAt': 39}, {'name': 'spike-cannon', 'levelLearnedAt': 44}, {'name': 'hydro-pump', 'levelLearnedAt': 49}]",40,special
