name,moveType,damageClass,power,pp,priority,accuracy
razor-wind,normal,special,80,10,0,100
horn-drill,normal,physical,,5,0,30
counter,fighting,physical,,20,-5,100
double-edge,normal,physical,120,15,0,100
hyper-beam,normal,special,150,5,0,90
soft-boiled,normal,status,,10,0,
substitute,normal,status,,10,0,
dragon-rage,dragon,special,,10,0,100
mega-drain,grass,special,40,15,0,100
skull-bash,normal,physical,130,10,0,100
double-team,normal,status,,15,0,
egg-bomb,normal,physical,100,10,0,75
pay-day,normal,physical,40,20,0,100
swift,normal,special,60,20,0,
dream-eater,psychic,special,100,15,0,100
rage,normal,physical,20,20,0,100
toxic,poison,status,,10,0,90
self-destruct,normal,physical,200,5,0,100
take-down,normal,physical,90,20,0,85
swords-dance,normal,status,,20,0,
earthquake,ground,physical,100,10,0,100
psywave,psychic,special,,15,0,100
blizzard,ice,special,110,5,0,70
solar-beam,grass,special,120,10,0,100
psychic,psychic,special,90,10,0,100
mimic,normal,status,,10,0,
metronome,normal,status,,10,0,
fire-blast,fire,special,110,5,0,85
fissure,ground,physical,,5,0,30
sky-attack,flying,physical,140,5,0,90
explosion,normal,physical,250,5,0,100
