Unnamed: 0,name,moves,encounterOrEvolutionTrigger,OriginIfEvolution,movesByVM,movesByTM
13,jigglypuff,"[{'name': 'sing', 'levelLearnedAt': 1}, {'name': 'pound', 'levelLearnedAt': 9}, {'name': 'disable', 'levelLearnedAt': 14}, {'name': 'defense-curl', 'levelLearnedAt': 19}, {'name': 'double-slap', 'levelLearnedAt': 24}, {'name': 'rest', 'levelLearnedAt': 29}, {'name': 'body-slam', 'levelLearnedAt': 34}, {'name': 'double-edge', 'levelLearnedAt': 39}]",walk,,"['flash', 'strength']","['bubble-beam', 'water-gun', 'mega-punch', 'bide', 'thunder', 'thunder-wave', 'seismic-toss', 'dig', 'thunderbolt', 'body-slam', 'rest', 'teleport', 'ice-beam', 'tri-attack', 'mega-kick', 'submission', 'reflect', 'counter', 'double-edge', 'substitute', 'skull-bash', 'double-team', 'dream-eater', 'rage', 'toxic', 'take-down', 'psywave', 'blizzard', 'solar-beam', 'psychic', 'mimic', 'fire-blast']"
14,clefairy,"[{'name': 'pound', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'sing', 'levelLearnedAt': 13}, {'name': 'double-slap', 'levelLearnedAt': 18}, {'name': 'minimize', 'levelLearnedAt': 24}, {'name': 'metronome', 'levelLearnedAt': 31}, {'name': 'defense-curl', 'levelLearnedAt': 39}, {'name': 'light-screen', 'levelLearnedAt': 48}]",walk,,"['flash', 'strength']","['bubble-beam', 'water-gun', 'mega-punch', 'bide', 'thunder', 'thunder-wave', 'seismic-toss', 'dig', 'thunderbolt', 'body-slam', 'rest', 'teleport', 'ice-beam', 'tri-attack', 'mega-kick', 'submission', 'reflect', 'counter', 'double-edge', 'soft-boiled', 'substitute', 'skull-bash', 'double-team', 'dream-eater', 'rage', 'toxic', 'take-down', 'psywave', 'blizzard', 'solar-beam', 'psychic', 'mimic', 'metronome', 'fire-blast']"
15,zubat,"[{'name': 'leech-life', 'levelLearnedAt': 1}, {'name': 'supersonic', 'levelLearnedAt': 10}, {'name': 'bite', 'levelLearnedAt': 15}, {'name': 'confuse-ray', 'levelLearnedAt': 21}, {'name': 'wing-attack', 'levelLearnedAt': 28}, {'name': 'haze', 'levelLearnedAt': 36}]",walk,,['fly'],"['whirlwind', 'bide', 'rest', 'razor-wind', 'double-edge', 'substitute', 'mega-drain', 'double-team', 'swift', 'rage', 'toxic', 'take-down', 'mimic']"
16,paras,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'stun-spore', 'levelLearnedAt': 13}, {'name': 'leech-life', 'levelLearnedAt': 20}, {'name': 'spore', 'levelLearnedAt': 27}, {'name': 'slash', 'levelLearnedAt': 34}, {'name': 'growth', 'levelLearnedAt': 41}]",walk,,"['cut', 'flash']","['bide', 'dig', 'body-slam', 'rest', 'reflect', 'counter', 'double-edge', 'substitute', 'mega-drain', 'skull-bash', 'double-team', 'rage', 'toxic', 'take-down', 'swords-dance', 'solar-beam', 'mimic']"
17,geodude,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'defense-curl', 'levelLearnedAt': 11}, {'name': 'rock-throw', 'levelLearnedAt': 16}, {'name': 'self-destruct', 'levelLearnedAt': 21}, {'name': 'harden', 'levelLearnedAt': 26}, {'name': 'earthquake', 'levelLearnedAt': 31}, {'name': 'explosion', 'levelLearnedAt': 36}]",walk,,['strength'],"['mega-punch', 'bide', 'seismic-toss', 'dig', 'body-slam', 'rest', 'rock-slide', 'submission', 'counter', 'double-edge', 'substitute', 'double-team', 'rage', 'toxic', 'self-destruct', 'take-down', 'earthquake', 'mimic', 'metronome', 'fire-blast']"
18,ekans,"[{'name': 'wrap', 'levelLearnedAt': 1}, {'name': 'leer', 'levelLearnedAt': 1}, {'name': 'poison-sting', 'levelLearnedAt': 10}, {'name': 'bite', 'levelLearnedAt': 17}, {'name': 'glare', 'levelLearnedAt': 24}, {'name': 'screech', 'levelLearnedAt': 31}, {'name': 'acid', 'levelLearnedAt': 38}]",walk,,['strength'],"['bide', 'dig', 'body-slam', 'rest', 'rock-slide', 'double-edge', 'substitute', 'mega-drain', 'skull-bash', 'double-team', 'rage', 'toxic', 'take-down', 'earthquake', 'mimic']"
19,oddish,"[{'name': 'absorb', 'levelLearnedAt': 1}, {'name': 'poison-powder', 'levelLearnedAt': 15}, {'name': 'stun-spore', 'levelLearnedAt': 17}, {'name': 'sleep-powder', 'levelLearnedAt': 19}, {'name': 'acid', 'levelLearnedAt': 24}, {'name': 'petal-dance', 'levelLearnedAt': 33}, {'name': 'solar-beam', 'levelLearnedAt': 46}]",walk,,"['cut', 'flash']","['bide', 'rest', 'reflect', 'double-edge', 'substitute', 'mega-drain', 'double-team', 'rage', 'toxic', 'take-down', 'swords-dance', 'solar-beam', 'mimic']"
20,psyduck,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'tail-whip', 'levelLearnedAt': 28}, {'name': 'disable', 'levelLearnedAt': 31}, {'name': 'confusion', 'levelLearnedAt': 36}, {'name': 'fury-swipes', 'levelLearnedAt': 43}, {'name': 'hydro-pump', 'levelLearnedAt': 52}]",walk,,"['flash', 'surf', 'strength']","['bubble-beam', 'water-gun', 'mega-punch', 'bide', 'seismic-toss', 'dig', 'body-slam', 'rest', 'ice-beam', 'mega-kick', 'submission', 'counter', 'double-edge', 'substitute', 'skull-bash', 'double-team', 'pay-day', 'swift', 'rage', 'toxic', 'take-down', 'blizzard', 'psychic', 'mimic']"
21,abra,"[{'name': 'teleport', 'levelLearnedAt': 1}]",walk,,['flash'],"['mega-punch', 'bide', 'thunder-wave', 'seismic-toss', 'body-slam', 'rest', 'teleport', 'tri-attack', 'mega-kick', 'submission', 'reflect', 'counter', 'double-edge', 'substitute', 'skull-bash', 'double-team', 'dream-eater', 'rage', 'toxic', 'take-down', 'psywave', 'psychic', 'mimic', 'metronome']"
22,krabby,"[{'name': 'leer', 'levelLearnedAt': 1}, {'name': 'bubble', 'levelLearnedAt': 1}, {'name': 'vise-grip', 'levelLearnedAt': 20}, {'name': 'guillotine', 'levelLearnedAt': 25}, {'name': 'stomp', 'levelLearnedAt': 30}, {'name': 'crabhammer', 'levelLearnedAt': 35}, {'name': 'harden', 'levelLearnedAt': 40}]",fishing,,"['cut', 'surf', 'strength']","['bubble-beam', 'water-gun', 'bide', 'dig', 'body-slam', 'rest', 'ice-beam', 'rock-slide', 'double-edge', 'substitute', 'double-team', 'rage', 'toxic', 'take-down', 'swords-dance', 'blizzard', 'mimic']"
23,shellder,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'withdraw', 'levelLearnedAt': 1}, {'name': 'supersonic', 'levelLearnedAt': 18}, {'name': 'clamp', 'levelLearnedAt': 23}, {'name': 'aurora-beam', 'levelLearnedAt': 30}, {'name': 'leer', 'levelLearnedAt': 39}, {'name': 'ice-beam', 'levelLearnedAt': 50}]",walk,,['surf'],"['bubble-beam', 'water-gun', 'bide', 'rest', 'teleport', 'ice-beam', 'tri-attack', 'reflect', 'double-edge', 'substitute', 'double-team', 'swift', 'rage', 'toxic', 'self-destruct', 'take-down', 'blizzard', 'mimic']"
24,drowzee,"[{'name': 'pound', 'levelLearnedAt': 1}, {'name': 'hypnosis', 'levelLearnedAt': 1}, {'name': 'disable', 'levelLearnedAt': 12}, {'name': 'confusion', 'levelLearnedAt': 17}, {'name': 'headbutt', 'levelLearnedAt': 24}, {'name': 'poison-gas', 'levelLearnedAt': 29}, {'name': 'psychic', 'levelLearnedAt': 32}, {'name': 'meditate', 'levelLearnedAt': 37}]",walk,,['flash'],"['mega-punch', 'bide', 'thunder-wave', 'seismic-toss', 'body-slam', 'rest', 'teleport', 'tri-attack', 'mega-kick', 'submission', 'reflect', 'counter', 'double-edge', 'substitute', 'skull-bash', 'double-team', 'dream-eater', 'rage', 'toxic', 'take-down', 'psywave', 'psychic', 'mimic', 'metronome']"
25,diglett,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 15}, {'name': 'dig', 'levelLearnedAt': 19}, {'name': 'sand-attack', 'levelLearnedAt': 24}, {'name': 'slash', 'levelLearnedAt': 31}, {'name': 'earthquake', 'levelLearnedAt': 40}]",walk,,['cut'],"['bide', 'dig', 'body-slam', 'rest', 'rock-slide', 'double-edge', 'substitute', 'double-team', 'rage', 'toxic', 'take-down', 'earthquake', 'mimic']"
26,dugtrio,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 15}, {'name': 'dig', 'levelLearnedAt': 19}, {'name': 'sand-attack', 'levelLearnedAt': 24}, {'name': 'slash', 'levelLearnedAt': 35}, {'name': 'earthquake', 'levelLearnedAt': 47}]",walk,,['cut'],"['bide', 'dig', 'body-slam', 'rest', 'rock-slide', 'tri-attack', 'double-edge', 'hyper-beam', 'substitute', 'double-team', 'rage', 'toxic', 'take-down', 'earthquake', 'mimic']"
27,mankey,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'leer', 'levelLearnedAt': 1}, {'name': 'karate-chop', 'levelLearnedAt': 15}, {'name': 'fury-swipes', 'levelLearnedAt': 21}, {'name': 'focus-energy', 'levelLearnedAt': 27}, {'name': 'seismic-toss', 'levelLearnedAt': 33}, {'name': 'thrash', 'levelLearnedAt': 39}]",walk,,['strength'],"['mega-punch', 'bide', 'thunder', 'seismic-toss', 'dig', 'thunderbolt', 'body-slam', 'rest', 'rock-slide', 'mega-kick', 'submission', 'counter', 'double-edge', 'substitute', 'skull-bash', 'double-team', 'pay-day', 'swift', 'rage', 'toxic', 'take-down', 'earthquake', 'mimic', 'metronome']"
28,poliwhirl,"[{'name': 'bubble', 'levelLearnedAt': 1}, {'name': 'hypnosis', 'levelLearnedAt': 16}, {'name': 'water-gun', 'levelLearnedAt': 19}, {'name': 'double-slap', 'levelLearnedAt': 26}, {'name': 'body-slam', 'levelLearnedAt': 33}, {'name': 'amnesia', 'levelLearnedAt': 41}, {'name': 'hydro-pump', 'levelLearnedAt': 49}]",walk,,"['surf', 'strength']","['bubble-beam', 'water-gun', 'mega-punch', 'bide', 'seismic-toss', 'dig', 'body-slam', 'rest', 'ice-beam', 'mega-kick', 'submission', 'counter', 'double-edge', 'substitute', 'skull-bash', 'double-team', 'rage', 'toxic', 'take-down', 'earthquake', 'psywave', 'blizzard', 'psychic', 'mimic', 'metronome']"
29,slowpoke,"[{'name': 'confusion', 'levelLearnedAt': 1}, {'name': 'disable', 'levelLearnedAt': 18}, {'name': 'headbutt', 'levelLearnedAt': 22}, {'name': 'growl', 'levelLearnedAt': 27}, {'name': 'water-gun', 'levelLearnedAt': 33}, {'name': 'amnesia', 'levelLearnedAt': 40}, {'name': 'psychic', 'levelLearnedAt': 48}]",walk,,"['flash', 'surf', 'strength']","['bubble-beam', 'water-gun', 'bide', 'thunder-wave', 'dig', 'body-slam', 'rest', 'teleport', 'ice-beam', 'tri-attack', 'reflect', 'double-edge', 'substitute', 'skull-bash', 'double-team', 'pay-day', 'swift', 'dream-eater', 'rage', 'toxic', 'take-down', 'earthquake', 'psywave', 'blizzard', 'psychic', 'mimic', 'fire-blast']"
30,voltorb,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'screech', 'levelLearnedAt': 1}, {'name': 'sonic-boom', 'levelLearnedAt': 17}, {'name': 'self-destruct', 'levelLearnedAt': 22}, {'name': 'light-screen', 'levelLearnedAt': 29}, {'name': 'swift', 'levelLearnedAt': 36}, {'name': 'explosion', 'levelLearnedAt': 43}]",walk,,['flash'],"['bide', 'thunder', 'thunder-wave', 'thunderbolt', 'rest', 'teleport', 'reflect', 'substitute', 'double-team', 'swift', 'rage', 'toxic', 'self-destruct', 'take-down', 'mimic']"
31,machop,"[{'name': 'karate-chop', 'levelLearnedAt': 1}, {'name': 'low-kick', 'levelLearnedAt': 20}, {'name': 'leer', 'levelLearnedAt': 25}, {'name': 'focus-energy', 'levelLearnedAt': 32}, {'name': 'seismic-toss', 'levelLearnedAt': 39}, {'name': 'submission', 'levelLearnedAt': 46}]",walk,,['strength'],"['mega-punch', 'bide', 'seismic-toss', 'dig', 'body-slam', 'rest', 'rock-slide', 'mega-kick', 'submission', 'counter', 'double-edge', 'substitute', 'skull-bash', 'double-team', 'rage', 'toxic', 'take-down', 'earthquake', 'mimic', 'metronome', 'fire-blast']"
32,onix,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'screech', 'levelLearnedAt': 1}, {'name': 'bind', 'levelLearnedAt': 15}, {'name': 'rock-throw', 'levelLearnedAt': 19}, {'name': 'rage', 'levelLearnedAt': 25}, {'name': 'slam', 'levelLearnedAt': 33}, {'name': 'harden', 'levelLearnedAt': 43}]",walk,,['strength'],"['bide', 'dig', 'body-slam', 'rest', 'rock-slide', 'double-edge', 'substitute', 'skull-bash', 'double-team', 'rage', 'toxic', 'self-destruct', 'take-down', 'earthquake', 'mimic']"
33,growlithe,"[{'name': 'bite', 'levelLearnedAt': 1}, {'name': 'roar', 'levelLearnedAt': 1}, {'name': 'ember', 'levelLearnedAt': 18}, {'name': 'leer', 'levelLearnedAt': 23}, {'name': 'take-down', 'levelLearnedAt': 30}, {'name': 'agility', 'levelLearnedAt': 39}, {'name': 'flamethrower', 'levelLearnedAt': 50}]",walk,,['strength'],"['bide', 'dig', 'body-slam', 'rest', 'reflect', 'double-edge', 'substitute', 'dragon-rage', 'skull-bash', 'double-team', 'swift', 'rage', 'toxic', 'take-down', 'mimic', 'fire-blast']"
34,gastly,"[{'name': 'night-shade', 'levelLearnedAt': 1}, {'name': 'confuse-ray', 'levelLearnedAt': 1}, {'name': 'lick', 'levelLearnedAt': 1}, {'name': 'hypnosis', 'levelLearnedAt': 27}, {'name': 'dream-eater', 'levelLearnedAt': 35}]",walk,,[],"['bide', 'thunder', 'thunderbolt', 'rest', 'substitute', 'mega-drain', 'double-team', 'dream-eater', 'rage', 'toxic', 'self-destruct', 'psywave', 'psychic', 'mimic']"
35,haunter,"[{'name': 'night-shade', 'levelLearnedAt': 1}, {'name': 'confuse-ray', 'levelLearnedAt': 1}, {'name': 'lick', 'levelLearnedAt': 1}, {'name': 'hypnosis', 'levelLearnedAt': 29}, {'name': 'dream-eater', 'levelLearnedAt': 38}]",walk,,[],"['bide', 'thunder', 'thunderbolt', 'rest', 'substitute', 'mega-drain', 'double-team', 'dream-eater', 'rage', 'toxic', 'self-destruct', 'psywave', 'psychic', 'mimic']"
36,cubone,"[{'name': 'growl', 'levelLearnedAt': 1}, {'name': 'bone-club', 'levelLearnedAt': 1}, {'name': 'leer', 'levelLearnedAt': 25}, {'name': 'focus-energy', 'levelLearnedAt': 31}, {'name': 'thrash', 'levelLearnedAt': 38}, {'name': 'bonemerang', 'levelLearnedAt': 43}, {'name': 'rage', 'levelLearnedAt': 46}]",walk,,['strength'],"['bubble-beam', 'water-gun', 'mega-punch', 'bide', 'seismic-toss', 'dig', 'body-slam', 'rest', 'ice-beam', 'rock-slide', 'mega-kick', 'submission', 'counter', 'double-edge', 'substitute', 'skull-bash', 'double-team', 'rage', 'toxic', 'take-down', 'swords-dance', 'earthquake', 'blizzard', 'mimic', 'fire-blast']"
37,gloom,"[{'name': 'absorb', 'levelLearnedAt': 1}, {'name': 'poison-powder', 'levelLearnedAt': 15}, {'name': 'stun-spore', 'levelLearnedAt': 17}, {'name': 'sleep-powder', 'levelLearnedAt': 19}, {'name': 'acid', 'levelLearnedAt': 28}, {'name': 'petal-dance', 'levelLearnedAt': 38}, {'name': 'solar-beam', 'levelLearnedAt': 52}]",walk,,"['cut', 'flash']","['bide', 'rest', 'reflect', 'double-edge', 'substitute', 'mega-drain', 'double-team', 'rage', 'toxic', 'take-down', 'swords-dance', 'solar-beam', 'mimic']"
38,venonat,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'disable', 'levelLearnedAt': 1}, {'name': 'poison-powder', 'levelLearnedAt': 24}, {'name': 'leech-life', 'levelLearnedAt': 27}, {'name': 'stun-spore', 'levelLearnedAt': 30}, {'name': 'psybeam', 'levelLearnedAt': 35}, {'name': 'sleep-powder', 'levelLearnedAt': 38}, {'name': 'psychic', 'levelLearnedAt': 43}]",walk,,['flash'],"['bide', 'rest', 'reflect', 'double-edge', 'substitute', 'mega-drain', 'double-team', 'swift', 'rage', 'toxic', 'take-down', 'psywave', 'solar-beam', 'psychic', 'mimic']"
39,tentacool,"[{'name': 'acid', 'levelLearnedAt': 1}, {'name': 'supersonic', 'levelLearnedAt': 7}, {'name': 'wrap', 'levelLearnedAt': 13}, {'name': 'poison-sting', 'levelLearnedAt': 18}, {'name': 'water-gun', 'levelLearnedAt': 22}, {'name': 'constrict', 'levelLearnedAt': 27}, {'name': 'barrier', 'levelLearnedAt': 33}, {'name': 'screech', 'levelLearnedAt': 40}, {'name': 'hydro-pump', 'levelLearnedAt': 48}]",fishing,,"['cut', 'surf']","['bubble-beam', 'water-gun', 'bide', 'rest', 'ice-beam', 'reflect', 'double-edge', 'substitute', 'mega-drain', 'skull-bash', 'double-team', 'rage', 'toxic', 'take-down', 'swords-dance', 'blizzard', 'mimic']"
40,snorlax,"[{'name': 'headbutt', 'levelLearnedAt': 1}, {'name': 'amnesia', 'levelLearnedAt': 1}, {'name': 'rest', 'levelLearnedAt': 1}, {'name': 'body-slam', 'levelLearnedAt': 35}, {'name': 'harden', 'levelLearnedAt': 41}, {'name': 'double-edge', 'levelLearnedAt': 48}, {'name': 'hyper-beam', 'levelLearnedAt': 56}]",walk,,"['surf', 'strength']","['bubble-beam', 'whirlwind', 'water-gun', 'mega-punch', 'bide', 'thunder', 'seismic-toss', 'thunderbolt', 'body-slam', 'rest', 'ice-beam', 'rock-slide', 'mega-kick', 'submission', 'reflect', 'counter', 'double-edge', 'hyper-beam', 'substitute', 'skull-bash', 'double-team', 'pay-day', 'rage', 'toxic', 'self-destruct', 'take-down', 'earthquake', 'psywave', 'blizzard', 'solar-beam', 'psychic', 'mimic', 'metronome', 'fire-blast']"
41,ditto,"[{'name': 'transform', 'levelLearnedAt': 1}]",walk,,[],[]
42,pidgeotto,"[{'name': 'gust', 'levelLearnedAt': 1}, {'name': 'sand-attack', 'levelLearnedAt': 5}, {'name': 'quick-attack', 'levelLearnedAt': 12}, {'name': 'whirlwind', 'levelLearnedAt': 21}, {'name': 'wing-attack', 'levelLearnedAt': 31}, {'name': 'agility', 'levelLearnedAt': 40}, {'name': 'mirror-move', 'levelLearnedAt': 49}]",walk,,['fly'],"['whirlwind', 'bide', 'rest', 'reflect', 'razor-wind', 'double-edge', 'substitute', 'double-team', 'swift', 'rage', 'toxic', 'take-down', 'mimic']"
43,nidorina,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'scratch', 'levelLearnedAt': 8}, {'name': 'poison-sting', 'levelLearnedAt': 14}, {'name': 'tail-whip', 'levelLearnedAt': 23}, {'name': 'bite', 'levelLearnedAt': 32}, {'name': 'fury-swipes', 'levelLearnedAt': 41}, {'name': 'double-kick', 'levelLearnedAt': 50}]",walk,,"['cut', 'strength']","['bubble-beam', 'water-gun', 'bide', 'thunder', 'dig', 'thunderbolt', 'body-slam', 'rest', 'ice-beam', 'reflect', 'horn-drill', 'counter', 'double-edge', 'substitute', 'skull-bash', 'double-team', 'rage', 'toxic', 'take-down', 'blizzard', 'mimic']"
44,nidorino,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'leer', 'levelLearnedAt': 1}, {'name': 'horn-attack', 'levelLearnedAt': 8}, {'name': 'poison-sting', 'levelLearnedAt': 14}, {'name': 'focus-energy', 'levelLearnedAt': 23}, {'name': 'fury-attack', 'levelLearnedAt': 32}, {'name': 'horn-drill', 'levelLearnedAt': 41}, {'name': 'double-kick', 'levelLearnedAt': 50}]",walk,,"['cut', 'strength']","['bubble-beam', 'water-gun', 'bide', 'thunder', 'dig', 'thunderbolt', 'body-slam', 'rest', 'ice-beam', 'reflect', 'horn-drill', 'counter', 'double-edge', 'substitute', 'skull-bash', 'double-team', 'rage', 'toxic', 'take-down', 'blizzard', 'mimic']"
45,parasect,"[{'name': 'scratch', 'levelLearnedAt': 1}, {'name': 'stun-spore', 'levelLearnedAt': 13}, {'name': 'leech-life', 'levelLearnedAt': 20}, {'name': 'spore', 'levelLearnedAt': 30}, {'name': 'slash', 'levelLearnedAt': 39}, {'name': 'growth', 'levelLearnedAt': 48}]",walk,,"['cut', 'flash']","['bide', 'dig', 'body-slam', 'rest', 'reflect', 'counter', 'double-edge', 'hyper-beam', 'substitute', 'mega-drain', 'skull-bash', 'double-team', 'rage', 'toxic', 'take-down', 'swords-dance', 'solar-beam', 'mimic']"
46,exeggcute,"[{'name': 'hypnosis', 'levelLearnedAt': 1}, {'name': 'barrage', 'levelLearnedAt': 1}, {'name': 'reflect', 'levelLearnedAt': 25}, {'name': 'leech-seed', 'levelLearnedAt': 28}, {'name': 'stun-spore', 'levelLearnedAt': 32}, {'name': 'poison-powder', 'levelLearnedAt': 37}, {'name': 'solar-beam', 'levelLearnedAt': 42}, {'name': 'sleep-powder', 'levelLearnedAt': 48}]",walk,,"['flash', 'strength']","['bide', 'rest', 'teleport', 'reflect', 'double-edge', 'substitute', 'mega-drain', 'double-team', 'egg-bomb', 'dream-eater', 'rage', 'toxic', 'self-destruct', 'take-down', 'swords-dance', 'psywave', 'solar-beam', 'psychic', 'mimic']"
